"0","1","""6.5"""
"2","3","""6"""
"4","2","""5.5"""
"0","0","""5"""
"5","3","""9.5"""
"5","6","""9.5"""
"3","4","""6"""
"7","8","""34"""
"5","9","""5.5"""
"10","11","""13"""
"12","13","""7.5"""
"3","14","""9"""
"10","13","""9.5"""
"12","0","""10"""
"15","0","""15.5"""
"16","7","""16.5"""
"17","7","""9"""
"13","13","""4.5"""
"13","0","""7"""
"7","10","""10.5"""
"18","1","""52"""
"13","19","""15.5"""
"20","5","""7.5"""
"0","12","""8"""
"21","3","""4"""
"22","23","""7"""
"10","24","""7"""
"13","5","""4"""
"25","14","""31"""
"26","7","""7.5"""
"27","28","""20"""
"5","29","""10"""
"20","30","""18"""
"15","0","""11"""
"31","16","""21"""
"21","17","""5.5"""
"0","32","""5.5"""
"15","33","""12"""
"1","34","""32.5"""
"7","8","""2.5"""
"3","35","""17"""
"1","36","""11"""
"37","21","""9"""
"20","13","""3.5"""
"38","16","""52"""
"13","0","""8"""
"8","39","""30"""
"7","0","""6.5"""
"5","0","""7"""
"0","0","""7.5"""
"0","10","""7"""
"30","14","""10.5"""
"13","0","""6.5"""
"13","17","""5.5"""
"40","19","""10"""
"13","41","""24"""
"13","1","""10.5"""
"1","6","""4.5"""
"12","42","""8"""
"5","43","""14"""
"44","45","""13"""
"46","5","""8"""
"12","42","""8.5"""
"5","3","""10.5"""
"1","17","""10"""
"8","44","""34"""
"0","1","""6.5"""
"32","1","""8"""
"0","47","""4.5"""
"44","19","""12"""
"29","42","""11.5"""
"18","36","""44.5"""
"3","26","""7"""
"14","2","""12"""
"1","7","""4"""
"20","48","""11"""
"16","17","""9"""
"1","14","""6.5"""
"7","1","""3.5"""
"5","5","""4"""
"20","13","""7.5"""
"37","7","""6"""
"32","26","""6"""
"32","9","""6.5"""
"3","3","""4.5"""
"49","26","""10.5"""
"13","0","""7.5"""
"29","29","""2.5"""
"0","1","""3.5"""
"48","3","""8.5"""
"50","0","""8"""
"3","32","""5"""
"51","20","""8.5"""
"4","10","""10.5"""
"2","0","""12.5"""
"13","13","""5"""
"52","0","""28.5"""
"16","20","""16.5"""
"18","31","""50.5"""
"44","1","""14"""
"46","7","""5"""
"15","0","""13"""
"7","52","""26.5"""
"30","53","""4.5"""
"1","13","""15.5"""
"3","30","""9"""
"0","1","""5"""
"3","6","""8.5"""
"4","2","""7"""
"7","5","""13"""
"4","3","""6"""
"10","42","""5"""
"0","1","""5"""
"54","15","""4"""
"55","29","""19"""
"14","17","""5"""
"55","40","""7"""
"13","20","""8.5"""
"20","32","""14.5"""
"44","18","""52"""
"3","4","""4"""
"7","0","""4.5"""
"7","2","""8.5"""
"1","14","""11.5"""
"4","26","""7.5"""
"19","12","""14"""
"1","7","""4.5"""
"10","56","""4"""
"13","57","""5.5"""
"58","59","""4"""
"26","40","""5"""
"1","17","""7"""
"57","40","""6"""
"2","3","""7.5"""
"26","26","""3.5"""
"6","6","""3.5"""
"31","41","""5.5"""
"60","58","""16.5"""
"59","0","""21.5"""
"3","56","""21"""
"29","42","""4.5"""
"20","0","""12"""
"24","12","""11"""
"5","41","""11.5"""
"3","37","""6.5"""
"13","16","""8.5"""
"1","0","""11"""
"61","62","""4"""
"0","2","""12.5"""
"0","3","""10"""
"5","0","""5"""
"13","10","""11"""
"13","13","""5.5"""
"15","63","""12"""
"19","14","""12"""
"15","2","""5.5"""
"64","59","""13"""
"5","54","""11"""
"13","5","""15.5"""
"4","42","""18"""
"3","14","""8.5"""
"29","16","""12"""
"7","28","""17.5"""
"13","40","""8"""
"9","62","""43"""
"11","56","""7.5"""
"40","40","""4"""
"13","26","""12"""
"2","31","""17"""
"0","65","""8"""
"2","66","""32"""
"5","5","""3.5"""
"4","67","""32"""
"11","56","""4"""
"19","68","""22.5"""
"46","59","""20.5"""
"55","13","""7.5"""
"53","69","""16.5"""
"54","14","""17"""
"5","37","""9.5"""
"44","13","""23"""
"31","70","""32"""
"30","29","""17.5"""
"14","13","""14"""
"40","8","""25.5"""
"54","71","""29"""
"30","14","""11"""
"4","5","""15.5"""
"30","42","""16"""
"4","72","""38.5"""
"6","49","""7.5"""
"24","73","""6"""
"7","40","""8.5"""
"58","74","""8.5"""
"6","72","""32"""
"57","26","""4.5"""
"55","75","""16"""
"55","44","""10"""
"55","76","""5"""
"30","41","""14"""
"3","74","""11"""
"1","26","""4.5"""
"7","14","""6"""
"1","44","""13.5"""
"77","41","""21"""
"20","20","""17"""
"30","46","""10"""
"55","69","""24"""
"78","4","""7.5"""
"31","79","""9"""
"54","60","""19.5"""
"56","80","""40"""
"37","12","""7.5"""
"4","4","""6.5"""
"5","76","""6.5"""
"59","44","""5"""
"45","64","""7"""
"15","6","""6.5"""
"59","81","""7"""
"16","29","""11"""
"5","82","""14"""
"4","1","""15.5"""
"83","59","""10"""
"55","74","""5.5"""
"30","74","""5"""
"10","10","""7.5"""
"82","84","""8"""
"3","0","""17"""
"2","2","""6.5"""
"2","43","""12.5"""
"49","75","""19"""
"7","4","""7.5"""
"1","28","""18"""
"0","76","""12.5"""
"3","2","""4.5"""
"76","85","""25"""
"30","2","""8"""
"4","7","""6.5"""
"55","1","""11.5"""
"40","86","""30"""
"19","43","""25"""
"54","1","""8.5"""
"9","41","""14"""
"55","75","""24"""
"46","87","""26"""
"0","17","""4.5"""
