"2","35","82.5"
"25","66","4.5"
"25","29","3.5"
"6","62","18"
"10","10","4.5"
"23","23","4"
"9","6","9"
"10","0","9.5"
"6","28","10.5"
"15","67","34.5"
"10","11","11"
"68","69","15.5"
"12","4","52"
"1","12","8.5"
"0","0","6"
"10","10","5.5"
"0","12","9.5"
"12","0","6.5"
"37","56","15"
"62","60","25.5"
"37","38","5"
"38","3","5.5"
"1","36","8"
"2","12","5.5"
"37","8","7.5"
"4","2","4.5"
"2","26","22"
"38","0","9"
"38","5","9"
"10","10","6"
"38","6","16.5"
"12","17","22"
"38","3","9.5"
"2","12","6.5"
"22","62","22"
"6","11","21"
"4","26","17.5"
"38","12","22"
"6","5","8"
"29","2","25"
"24","45","35.5"
"2","0","5"
"16","63","22.5"
"38","10","25.5"
"12","19","18"
"5","2","8.5"
"62","6","13"
"7","0","25"
"10","2","16"
"12","1","11"
"6","0","6"
"55","9","13"
"29","0","11.5"
"0","2","7.5"
"4","0","6"
"17","41","41"
"12","14","19.5"
"9","0","8"
"35","35","10.5"
"0","5","6"
"10","10","5.5"
"2","12","7"
"8","2","11"
"6","17","25"
"6","6","5"
"12","12","6"
"10","11","8"
"10","10","7.5"
"55","6","23"
"10","6","5"
"32","22","10.5"
"0","2","7.5"
"0","4","8"
"10","10","8.5"
"0","16","13"
"0","6","8.5"
"0","14","18.5"
"35","35","4"
"10","10","5"
"10","10","5"
"38","3","6.5"
"2","10","15"
"2","8","8.5"
"37","38","5"
"4","6","10"
"37","8","7.5"
"36","70","55"
"2","1","4.5"
"42","10","22"
"38","2","7"
"37","16","7"
"16","69","24"
"33","24","11.5"
"38","29","16.5"
"13","6","14.5"
"37","56","11"
"12","12","3.5"
"37","5","8.5"
"4","25","15.5"
"13","38","6.5"
"3","27","26"
"35","35","5"
"12","6","10"
"4","33","14.5"
"2","38","9.5"
"71","71","7"
"38","72","42.5"
"0","8","6"
"0","29","7.5"
"38","35","107.5"
"33","10","23"
"2","73","28.5"
"12","29","19.5"
"37","22","15.5"
"37","14","9"
"16","55","10"
"0","74","41.5"
"56","4","17.5"
"0","10","19"
"16","38","5"
"24","50","15.5"
"2","61","24.5"
"24","26","5"
"5","37","8"
"38","75","15.5"
"6","8","14.5"
"28","76","30.5"
"6","0","10.5"
"12","10","10"
"10","12","7"
"39","2","9"
"25","6","13.5"
"10","22","9"
"9","16","6"
"2","39","9"
"7","9","34"
"38","42","8.5"
"2","2","6"
"8","9","4"
"4","10","8.5"
"37","38","4"
"35","35","27"
