"(39, 25)",['25.5'],"(1.0, 0.0)"
"(39, 28)",['11'],"(1.0, 0.0)"
"(39, 36)",['10.5'],"(1.0, 0.0)"
"(39, 55)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(39, 75)",['15'],"(1.0, 0.0)"
"(39, 79)",['44.5'],"(1.0, 0.0)"
"(40, 16)",['16.5'],"(1.0, 0.0)"
"(40, 34)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(41, 41)",['4'],"(0.99996832875816688, 6.3342483666239957e-05)"
"(42, 10)",['22'],"(1.0, 0.0)"
"(42, 43)",['12'],"(1.0, 0.0)"
"(43, 6)",['27'],"(1.0, 0.0)"
"(43, 39)",['13'],"(1.0, 0.0)"
"(50, 14)",['26'],"(1.0, 0.0)"
"(51, 26)",['21'],"(1.0, 0.0)"
"(53, 14)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(53, 33)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(53, 58)",['4.5'],"(0.99999660232687526, 6.7953462494774186e-06)"
"(55, 1)",['11.5'],"(1.0, 0.0)"
"(55, 6)",['23'],"(1.0, 0.0)"
"(55, 9)",['13'],"(1.0, 0.0)"
"(55, 12)",['16.5'],"(1.0, 0.0)"
"(55, 28)",['17.5'],"(1.0, 0.0)"
"(55, 56)",['28.5'],"(1.0, 0.0)"
"(56, 4)",['17.5'],"(1.0, 0.0)"
"(56, 34)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(56, 35)",['16.5'],"(1.0, 0.0)"
"(56, 40)",['7.5'],"(0.99999999999996814, 6.3726801613483985e-14)"
"(56, 53)",['9.5'],"(1.0, 0.0)"
"(56, 57)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(62, 0)",['14'],"(1.0, 0.0)"
"(62, 6)",['13'],"(1.0, 0.0)"
"(62, 60)",['25.5'],"(1.0, 0.0)"
"(66, 61)",['24'],"(1.0, 0.0)"
"(68, 69)",['15.5'],"(1.0, 0.0)"
"(71, 71)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(74, 25)",['23'],"(1.0, 0.0)"
"(75, 63)",['8.5'],"(1.0, 0.0)"
"(75, 68)",['4'],"(0.99996832875816688, 6.3342483666239957e-05)"
"(78, 78)",['40'],"(1.0, 0.0)"
"(80, 0)",['33'],"(1.0, 0.0)"
"(83, 84)",['28'],"(1.0, 0.0)"
"(87, 88)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
